nct_id;url_link;lead_sponsor;overall_status;results_reported;is_overdue;completion_date;results_date;download_date;brief_title;population_type
NCT00883402;https://clinicaltrials.gov/show/NCT00883402;University of Oxford;Recruiting;False;False;2019-12-01;No;2019-09-18;Carotid Endarterectomy Versus Carotid Artery Stenting in Asymptomatic Patients;3-no result and not yet overdue
NCT03979404;https://clinicaltrials.gov/show/NCT03979404;King's College London;Not yet recruiting;False;False;2021-05-01;No;2019-09-18;Theta Burst Stimulation in Anorexia Nervosa: A Case Series;3-no result and not yet overdue
NCT03970993;https://clinicaltrials.gov/show/NCT03970993;University of Oxford;Recruiting;False;False;2021-06-01;No;2019-09-18;VAC 072-An Efficacy Study of R21/MM in Different Dose Schedules;3-no result and not yet overdue
NCT03979014;https://clinicaltrials.gov/show/NCT03979014;Imperial College London;Not yet recruiting;False;False;2023-07-31;No;2019-09-18;Nonavalent Prophylactic HPV Vaccine (GARDASIL9) After Local Conservative The NOVEL Trial;3-no result and not yet overdue
NCT03979027;https://clinicaltrials.gov/show/NCT03979027;University of Leeds;Completed;False;True;2011-04-28;No;2019-09-18;Acute Effects of Breakfast Compared With No Breakfast on Cognitive Function and Subjective State in 11-13 Year Old Children;2-no result and overdue
NCT02408198;https://clinicaltrials.gov/show/NCT02408198;King's College London;Completed;False;True;2016-01-01;No;2019-09-18;The Street Smart Group: A Feasibility Trial of a Group Intervention Targeting Anxiety Processes in Paranoia;2-no result and overdue
NCT02409420;https://clinicaltrials.gov/show/NCT02409420;King's College London;Unknown status;False;True;2016-07-01;No;2019-09-18;A Trial of Brief Physiotherapy Informed by Acceptance and Commitment Therapy for Chronic Low Back Pain: the PACT Study;2-no result and overdue
NCT02404831;https://clinicaltrials.gov/show/NCT02404831;University of Glasgow;Completed;False;True;2015-05-01;No;2019-09-18;An Evaluation of Web Based Pulmonary Rehabilitation;2-no result and overdue
NCT02404116;https://clinicaltrials.gov/show/NCT02404116;University of Manchester;Completed;False;True;2017-01-01;No;2019-09-18;Metacognitive Therapy for Health Anxiety;2-no result and overdue
NCT02407015;https://clinicaltrials.gov/show/NCT02407015;University of Sheffield;Completed;False;True;2015-05-01;No;2019-09-18;The Effect of 3D Autostereoscopic Video-game Play on the Visual Fatigue in Children;2-no result and overdue
NCT02406456;https://clinicaltrials.gov/show/NCT02406456;Cardiff University;Completed;False;True;2015-08-01;No;2019-09-18;Optimisation of Functional MRI-based Neurofeedback for Alcohol Use Disorders;2-no result and overdue
NCT02406222;https://clinicaltrials.gov/show/NCT02406222;University of Leeds;Recruiting;False;False;2019-03-01;No;2019-09-18;Pomalidomide in Relapsed and Refractory Multiple Myeloma (RRMM);3-no result and not yet overdue
NCT02407262;https://clinicaltrials.gov/show/NCT02407262;University College London;Completed;False;True;2015-12-01;No;2019-09-18;Potential Benefits of Black Seed Oil Supplementation on Asthma Inflammation and Outcomes;2-no result and overdue
